Date,MPC_Sentiment,MPC_Polarity,MPC_Positive,MPC_Negative,MPC_TotalWords,FSR_Sentiment,FSR_Polarity,FSR_Positive,FSR_Negative,FSR_TotalWords,FSSI_raw,FSSI,FSSI_smoothed,MPSI,MPSI_smoothed,Repo_Rate,Repo_Change,Stance,Event
2015-06-01,-0.0093141405588484,-1.0,15,37,2362,-0.0041503001556362,-1.0,140,308,40479,0.0041503001556362,9.429606531785044,16.69,10.909095477280069,43.18,7.25,-0.75,Hawkish,
2015-12-01,-0.002488800398208,-1.0,15,20,2009,-0.007502679528403,-1.0,100,401,40119,0.007502679528403,78.74948138977656,31.45,55.83688528336333,37.72,6.75,-0.5,Neutral,
2016-06-01,-0.0004420866489832,-1.0,13,14,2262,-0.0053974373511736,-1.0,135,373,44095,0.0053974373511736,35.217676649293445,41.13,69.30937499877184,45.35,6.5,-0.25,Dovish,
2016-12-01,-0.0064555174500706,-1.0,18,50,4957,-0.005057949651724,-1.0,120,295,34599,0.005057949651724,28.197813374615453,47.39,29.725977148116968,51.62,6.25,-0.25,Hawkish,Demonetisation
2017-06-01,-0.0024281150159744,-1.0,52,71,7825,-0.0037342295484249,-1.0,131,271,37491,0.0037342295484249,0.8261761866770888,21.41,56.236346706988144,51.76,6.25,0.0,Neutral,
2017-12-01,0.000298998355509,1.0,68,66,6689,-0.0047330399402142,-1.0,147,318,36129,0.0047330399402142,21.479391013181782,16.83,74.18756575947114,53.38,6.0,-0.25,Dovish,
2018-06-01,0.0008705745792222,1.0,55,49,6892,-0.0061487854251012,-1.0,128,371,39520,0.0061487854251012,50.75391186257378,24.35,77.94996526378127,69.46,6.25,0.25,Dovish,
2018-12-01,-0.0043378412860423,-1.0,48,82,7838,-0.0049631277068945,-1.0,161,373,42715,0.0049631277068945,26.237102900506002,32.82,43.66557683627218,65.27,6.5,0.25,Hawkish,
2019-06-01,-0.0076455596941776,-1.0,45,123,10202,-0.0063746706812194,-1.0,143,414,42512,0.0063746706812194,55.424725021006914,44.14,21.892526133921304,47.84,5.75,-0.75,Hawkish,Pre-COVID Rate Cut Cycle
2019-12-01,-0.0029239766081871,-1.0,64,92,9576,-0.0064864141943249,-1.0,119,410,44863,0.0064864141943249,57.735336525060106,46.47,52.97233863361592,39.51,5.15,-0.5999999999999996,Neutral,
2020-06-01,-0.0092062422813517,-1.0,48,130,8907,-0.0074469932282522,-1.0,171,557,51833,0.0074469932282522,77.59801047060904,63.59,11.619335702340928,28.83,4.0,-1.1500000000000004,Hawkish,COVID Emergency Cut
2020-12-01,0.0042203718489791,1.0,118,81,8767,-0.0056775670084943,-1.0,229,487,45442,0.0056775670084943,41.0101454096105,58.78,100.0,54.86,4.0,0.0,Dovish,
2021-06-01,0.0017402945113788,1.0,69,56,7470,-0.0046023932444871,-1.0,233,463,49974,0.0046023932444871,18.7779030276683,45.8,83.67489521341567,65.1,4.0,0.0,Dovish,
2021-12-01,0.0006885471654808,1.0,90,84,8714,-0.0051879670138216,-1.0,213,481,51658,0.0051879670138216,30.886288116820218,30.22,76.75177012756241,86.81,4.0,0.0,Dovish,
2022-06-01,-0.0018848957024377,-1.0,48,63,7958,-0.00590364088317,-1.0,209,532,54712,0.00590364088317,45.68485878736487,31.78,59.812086899091895,73.41,4.9,0.9000000000000004,Neutral,Post-COVID Rate Hike Cycle
2022-12-01,-0.0057811062935225,-1.0,41,85,7611,-0.0049924949422436,-1.0,261,567,61292,0.0049924949422436,26.844353110867683,34.47,34.16528742000642,56.91,6.25,1.3499999999999996,Hawkish,
2023-06-01,0.0012747875354107,1.0,55,46,7060,-0.0056007282489623,-1.0,309,672,64813,0.0056007282489623,39.4212878840359,37.32,80.61069634898898,58.2,6.5,0.25,Dovish,Pause at Peak Rate
2023-12-01,0.0001592610288262,0.999999,48,47,6279,-0.0040467558256735,-1.0,278,547,66473,0.0040467558256735,7.288536206159864,24.52,73.26774504819397,62.68,6.5,0.0,Dovish,
2024-06-01,0.0019743336623889,1.0,50,36,7091,-0.0038419319429198,-1.0,254,492,61948,0.0038419319429198,3.0532261944841355,16.59,85.21545752027502,79.7,6.5,0.0,Dovish,
2024-12-01,-0.0044146749885827,-1.0,40,69,6569,-0.0049439476004534,-1.0,272,586,63512,0.0049439476004534,25.840500240001425,12.06,43.15981912214906,67.21,6.25,-0.25,Hawkish,Rate Cut Restart
2025-06-01,0.0014617508526879,1.0,44,35,6157,-0.0042558792558792,-1.0,257,548,68376,0.0042558792558792,11.612751457421489,13.5,81.84138206169783,70.07,6.0,-0.25,Dovish,
