,MPC_Sentiment,FSR_Sentiment,MPSI,FSSI,Repo_Rate,CPI_Inflation,GDP_Growth,Bank_Credit_Growth,Nifty50,USD_INR
count,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
mean,-0.0022,-0.0055,57.7883,38.1667,6.3403,6.3774,5.7226,13.2484,11640.0852,67.5458
std,0.0038,0.0014,25.1462,29.1389,1.2562,2.3918,5.9822,4.6437,6064.8133,11.7829
min,-0.011,-0.0085,0.0,0.0,4.0,2.2,-24.4,5.5,5025.72,44.95
25%,-0.0044,-0.0063,43.4127,15.1953,5.875,4.85,5.4,9.35,6617.67,61.65
50%,-0.0019,-0.0054,59.8121,34.4553,6.25,5.7,6.7,13.2,10203.94,67.79
75%,0.0008,-0.0044,77.6526,53.0893,7.25,8.6,7.55,16.6,16040.505,75.155
max,0.0042,-0.0037,100.0,100.0,8.5,10.4,13.5,23.0,24907.57,85.4
