MPC_Date,FSR_Date,MPC_Sentiment,FSR_Sentiment
Jul-10,Mar-10,0.0014101531023368251,-0.0036942748310778476
Oct-10,Dec-10,0.0011294876966518757,-0.003915330967820874
Jul-11,Jun-11,-0.002445594385765932,-0.005365240903574698
Oct-11,Dec-11,-0.0004992511233150275,-0.007829640782964078
Jul-12,Jun-12,-0.010971428571428571,-0.008530376136272758
Oct-12,Dec-12,-0.0028997867803837955,-0.008050646793449814
Jul-13,Jun-13,-0.005912596401028277,-0.005977083496463341
Oct-13,Dec-13,0.0007802340702210664,-0.007976658904146257
Jun-14,Jun-14,0.0,-0.005360568784561562
Dec-14,Dec-14,-0.0039198606271777,-0.0039930262639896515
Jun-15,Jun-15,-0.009314140558848433,-0.004150300155636256
Dec-15,Dec-15,-0.0024888003982080635,-0.007502679528403001
Jun-16,Jun-16,-0.0004420866489832007,-0.005397437351173602
Dec-16,Dec-16,-0.0064555174500706075,-0.005057949651724038
Jun-17,Jun-17,-0.0024281150159744407,-0.003734229548424955
Dec-17,Dec-17,0.0002989983555090447,-0.0047330399402142325
Jun-18,Jun-18,0.0008705745792222867,-0.006148785425101215
Dec-18,Dec-18,-0.004337841286042358,-0.004963127706894534
Jun-19,Jun-19,-0.007645559694177613,-0.00637467068121942
Dec-19,Dec-19,-0.0029239766081871343,-0.006486414194324944
Jun-20,Jun-20,-0.009206242281351746,-0.007446993228252272
Dec-20,Jan-21,0.004220371848979126,-0.005677567008494345
Jun-21,Jun-21,0.0017402945113788486,-0.004602393244487133
Dec-21,Dec-21,0.0006885471654808355,-0.005187967013821673
Jun-22,Jun-22,-0.0018848957024377984,-0.005903640883170054
Dec-22,Dec-22,-0.005781106293522533,-0.004992494942243686
Jun-23,Jun-23,0.0012747875354107649,-0.0056007282489623994
Dec-23,Dec-23,0.00015926102882624622,-0.0040467558256735816
Jun-24,Jun-24,0.0019743336623889436,-0.0038419319429198683
Dec-24,Dec-24,-0.004414674988582737,-0.0049439476004534575
Jun-25,Jun-25,0.0014617508526879974,-0.004255879255879256
