Impulse,Response,Period,IRF
MPC_Sentiment,Nifty50,5,-71217.743055
MPC_Sentiment,Nifty50,6,1363.282862
MPC_Sentiment,Nifty50,7,31410.564086
MPC_Sentiment,Nifty50,8,-20365.019636
CPI_Inflation,Nifty50,0,0.0
CPI_Inflation,Nifty50,1,-184.971823
CPI_Inflation,Nifty50,2,-220.740345
CPI_Inflation,Nifty50,3,132.376396
CPI_Inflation,Nifty50,4,273.625114
CPI_Inflation,Nifty50,5,67.961797
CPI_Inflation,Nifty50,6,25.590412
CPI_Inflation,Nifty50,7,151.879542
CPI_Inflation,Nifty50,8,172.431591
GDP_Growth,Nifty50,0,0.0
GDP_Growth,Nifty50,1,-55.053653
GDP_Growth,Nifty50,2,-52.563864
GDP_Growth,Nifty50,3,-89.218403
GDP_Growth,Nifty50,4,-87.739412
GDP_Growth,Nifty50,5,-104.926183
GDP_Growth,Nifty50,6,-102.339332
GDP_Growth,Nifty50,7,-122.014138
GDP_Growth,Nifty50,8,-142.772928
Nifty50,Nifty50,0,1.0
Nifty50,Nifty50,1,0.552791
Nifty50,Nifty50,2,0.354805
Nifty50,Nifty50,3,0.803613
Nifty50,Nifty50,4,0.935147
Nifty50,Nifty50,5,0.906512
Nifty50,Nifty50,6,0.892742
Nifty50,Nifty50,7,1.020111
Nifty50,Nifty50,8,1.147936
